,,,,,,service_mode,band_profile,line_type,rate_mode_up,rate_mode_dn,,,rate_dn_max,rate_up_max,rate_dn_min,rate_up_min,snr_dn_min,snr_up_min,snr_dn_target,snr_up_target,snr_dn_max,snr_up_max,,,,,,,,,latency_dn,latency_up,inp_dn,inp_up,pbo_dn,pbo_up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VDSL HSI 12a,ALL,6SNR_8D_1INP_12a_UPBO,,,VDSL2,12a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Enabled,Disabled,Disabled,Max INP,Max INP,53.00,16.20,54.00,10.20,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,VDSL HSI 17a,ALL,6SNR_8D_1INP_17a_UPBO,,,VDSL2,17a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Enabled,Disabled,Disabled,Max INP,Max INP,53.00,16.20,54.00,10.20,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,VDSL IPTV 8a,ALL,9SNR_8x5D_2x1INP_8a_UPBO,,,VDSL2,8a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Enabled,Disabled,Disabled,Max INP,Max INP,53.00,16.20,54.00,10.20,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,VDSL IPTV 12a,ALL,9SNR_8x5D_2x1INP_12a_UPBO,,,VDSL2,12a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Enabled,Disabled,Disabled,Max INP,Max INP,53.00,16.20,54.00,10.20,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,VDSL IPTV 17a,ALL,9SNR_8x5D_2x1INP_17a_UPBO,,,VDSL2,17a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Enabled,Disabled,Disabled,Max INP,Max INP,53.00,16.20,54.00,10.20,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSL2+,ADSL2+ HSI,ALL,32000x2048,,,ADSL2+,-,Interleaved,Startup,Startup,,,32000,2048,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,32000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
ADSL2+ DSLAMS,ADSL2+ IPTV,ALL,32000x2048_IPTV,,,ADSL2+,-,Interleaved,Startup,Startup,,,32000,2048,32,32,0,0,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,32000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSL,ADSL Auto,ALL,8032x1024,,,ADSLMM,-,Interleaved,Startup,Startup,,,8032,1024,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,8032,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,ADSL T1.413,ALL,8032x1024_ansi,,,T1.413,-,Interleaved,Startup,Startup,,,8032,1024,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,8032,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,ADSL G.DMT,ALL,8032x1024_dmt,,,G.DMT,-,Interleaved,Startup,Startup,,,8032,1024,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,8032,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE PROFILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewCo Single,1.5M/768k,14650,AF1.5Mx768K,,,ADSL2+,-,Interleaved,Startup,Startup,,,1792,864,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1792,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL DSLAMS,3M/768k,10300,AF3Mx768K,,,ADSL2+,-,Interleaved,Startup,Startup,,,3376,864,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3376,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
High Speed,1.5M/768k,14650,V1.5Mx768K,,,VDSL2,8a,Interleaved,Startup,Startup,,,1792,864,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1792,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,3M/768k,10300,V3Mx768K,,,VDSL2,8a,Interleaved,Startup,Startup,,,3376,864,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3376,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,6M/768k,6450,V6Mx768K,,,VDSL2,8a,Interleaved,Startup,Startup,,,6752,864,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,6752,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,10M/768k,5650,V10Mx768K,,,VDSL2,8a,Interleaved,Startup,Startup,,,10912,864,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,10912,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,15M/768k,3850,V15Mx768K,,,VDSL2,8a,Interleaved,Startup,Startup,,,16384,864,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,16384,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20M/896k,3350,V20Mx896K,,,VDSL2,8a,Interleaved,Startup,Startup,,,21824,992,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,21824,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,4M/1M,7200,V4Mx1M,4352,1120,VDSL2,8a,Interleaved,Startup,Startup,,,4352,1120,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,4352,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,10Mx1M,5600,V10MX1M,10912,1120,VDSL2,8a,Interleaved,Startup,Startup,,,10912,1120,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,10912,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,6M/1.5M,3050,V6Mx1.5M,,,VDSL2,8a,Interleaved,Startup,Startup,,,6752,1792,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,6752,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,12M/1.5M,3050,V12Mx1.5M,,,VDSL2,8a,Interleaved,Startup,Startup,,,13504,1792,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,13504,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20M/1.5M,3050,V20Mx1.5M,,,VDSL2,8a,Interleaved,Startup,Startup,,,21824,1792,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,21824,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,30M/1.5M,2550,V30Mx1.5M,,,VDSL2,8a,Interleaved,Startup,Startup,,,35658,1792,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,35658,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,12M/5M,2050,V12Mx5M,,,VDSL2,8a,Interleaved,Startup,Startup,,,13504,5504,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,13504,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20M/5M,2050,V20Mx5M,,,VDSL2,8a,Interleaved,Startup,Startup,,,21824,5504,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,21824,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40M/5M,2050,V40Mx5M,,,VDSL2,8a,Interleaved,Startup,Startup,,,43648,5504,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43648,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40M/20M,1000,V40Mx20M_12a,,,VDSL2,12a,Interleaved,Startup,Startup,,,43648,21824,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43648,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40M/20M,1000,V40Mx20M_17a,,,VDSL2,17a,Interleaved,Startup,Startup,,,43648,21824,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43648,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,60M/5M,1000,V60Mx5M,60128,5120,VDSL2,8a,Interleaved,Startup,Startup,,,65472,5504,32,32,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,65472,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewCo Bonded,4M/1M,11550,ABF4Mx1M,4608,1184,ADSL2+,-,Interleaved,Startup,Startup,4608,1216,2304,608,576,152,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,2304,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL DSLAMS,6M/1.5M,10050,ABF6Mx1.5M,,,ADSL2+,-,Interleaved,Startup,Startup,6752,1792,3376,896,844,224,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3376,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
High Speed,4M/1M,11550,VB4Mx1M,,,VDSL2,8a,Interleaved,Startup,Startup,4608,1216,2304,608,576,152,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,2304,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,6M/1.5M,10050,VB6Mx1.5M,,,VDSL2,8a,Interleaved,Startup,Startup,6752,1792,3376,896,844,224,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3376,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,10M/1M,6700,VB10Mx1M,11008,1216,VDSL2,8a,Interleaved,Startup,Startup,11008,1216,5504,608,1376,152,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,5504,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,12M/1.5M,6150,VB12Mx1.5M,,,VDSL2,8a,Interleaved,Startup,Startup,13504,1792,6752,896,1688,224,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,6752,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20M/1.5M,5400,VB20Mx1.5M,,,VDSL2,8a,Interleaved,Startup,Startup,21824,1792,10912,896,2728,224,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,10912,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,30M/1.5M,3600,VB30Mx1.5M,,,VDSL2,8a,Interleaved,Startup,Startup,32704,1792,16352,896,4088,224,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,16352,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,12M/5M,2550,VB12Mx5M,,,VDSL2,8a,Interleaved,Startup,Startup,13504,5504,6752,2752,1688,688,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,6752,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20M/5M,2550,VB20Mx5M,,,VDSL2,8a,Interleaved,Startup,Startup,21824,5504,10912,2752,2728,688,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,10912,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40M/5M,2550,VB40Mx5M,,,VDSL2,8a,Interleaved,Startup,Startup,43648,5504,21824,2752,5456,688,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,21824,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40M/20M,1250,VB40Mx20M_12a,,,VDSL2,12a,Interleaved,Startup,Startup,43648,21824,21824,10912,5456,2728,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,21824,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40M/20M,1250,VB40Mx20M_17a,,,VDSL2,17a,Interleaved,Startup,Startup,43648,21824,21824,10912,5456,2728,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,21824,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,60M/5M,2050,VB60Mx5M,60128,5120,VDSL2,8a,Interleaved,Startup,Startup,65472,5504,32736,2752,8184,688,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,32736,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,80M/10M,1800,VB80Mx10M,80128,10144,VDSL2,8a,Interleaved,Startup,Startup,87296,11008,43648,5504,10912,1376,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43648,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,80M/40M,1000,VB80Mx40M_12a,,,VDSL2,12a,Interleaved,Startup,Startup,87296,43648,43648,21824,10912,5456,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43648,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,80M/40M,1000,VB80Mx40M_17a,,,VDSL2,17a,Interleaved,Startup,Startup,87296,43648,43648,21824,10912,5456,1,1,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43648,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewCo Single,25M/1.5M,2550,V25Mx1.5M_IPTV,25000,2000,VDSL2,8a,Interleaved,Startup,Startup,,,27264,1792,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,27264,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL DSLAMS,40M/5M,1800,V40Mx5M_IPTV,40000,5000,VDSL2,8a,Interleaved,Startup,Startup,,,43648,5504,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43648,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
